question,answers
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
what is animal welfare?,refers to the conditions in which an animal is raised
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
A large diary cows can eat up of?,150 pounds
what is animal welfare?,refers to the conditions in which an animal is raised
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
what is Food Supply Continuum,The process of getting food from the farm to the table
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
what is RFID used for?,is a technology that has been used to identify and track livestock animals
What farming practices destroy soil nutrient,"Overuse of synthetic fertilizers: Excessive use of synthetic fertilizers can result in soil acidification and nutrient imbalances, which can reduce soil fertility and productivity over time."
which other techniques can help preserve quality of beans?,The use of hermetic storage bags or containers
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
what can be made from  milled bean flour.,"bean cakes, bean bread, and bean porridge."
how else can you achieve pest control.,culling
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
what can be made from  milled bean flour.,"bean cakes, bean bread, and bean porridge."
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
what is animal welfare?,refers to the conditions in which an animal is raised
how can you minimize the effects of anti-nutrients in beans.,"it is recommended to soak, sprout, or ferment the beans before milling them. These processes can help to break down the anti-nutrients and make the nutrients more bioavailable."
why is it important in agriculture?,It is an essential aspect of agriculture that plays a crucial role in ensuring sustainable crop yields and protecting the environment.
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
which other way can cover crops increase fertility,Cover crops can also improve soil quality by increasing soil organic matter levels through the input of cover crop biomass over time
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
Explain how agronomic practices can be used to impact on the extent of damage done by crop pests? ,"Crop rotation: Rotating crops helps disrupt the life cycles of pests and reduces the buildup of pest populations. By alternating different crops in the same field, pests that are specific to a particular crop are less likely to persist and cause significant damage.

Proper planting time and spacing: Planting crops at the appropriate time and with the correct spacing can promote healthy plant growth and vigor. Well-spaced plants have better air circulation, reducing the favorable conditions for pests and diseases to spread. Timely planting can also help avoid critical pest infestation periods.

Field sanitation: Proper field sanitation involves removing crop residues, weeds, and other debris from the field. These residues can harbor pests and diseases, providing a breeding ground for future infestations. Removing crop debris and maintaining clean field conditions can help reduce pest populations.

Use of resistant or tolerant varieties: Planting crop varieties that have natural resistance or tolerance to specific pests can greatly reduce pest damage. Resistant varieties have built-in genetic traits that make them less susceptible to pest attacks. By choosing and planting resistant or tolerant varieties, farmers can minimize the impact of pests on their crops."
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
how else can you achieve pest control.,culling
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
What farming practices destroy soil nutrient,"Overuse of synthetic fertilizers: Excessive use of synthetic fertilizers can result in soil acidification and nutrient imbalances, which can reduce soil fertility and productivity over time."
What are barns used for?,to store modern farm machinery and house farm animals
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
what percentage does the production of animal food produce to Green House Emission.,57%
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
what are the three phases of  Food Supply Continuum,"pre?harvest, harvest and postharvest"
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
give other examples of ruminats,"Goats, sheep, camels, and antelope "
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
what important role does agriculture play?,feeding the growing population.
what is a major source of greenhouse gas emissions,Animal husbandry
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
does spacing reduce competition for resources?,"When beans are spaced adequately, there is less competition among plants for essential resources like water, nutrients, and light. This allows each plant to access the resources it needs without being hindered by neighboring plants, resulting in more vigorous growth.
"
what percentage does the production of animal food produce to Green House Emission.,57%
Are beef animals consuming grain that could be used to feed humans?,lifetime 
how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
What are barns used for?,to store modern farm machinery and house farm animals
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
how can Livestock integration helps increase soil fertility.,"Grazing livestock on pasture land can help add organic matter to the soil through manure and urine deposition. Additionally, crop residues and other organic materials can be fed to livestock and the resulting manure can be applied to the soil to improve fertility."
why should farmers implement waste management strategies.,Livestock produce a significant amount of waste that can be harmful to the environment if not managed properly.
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
what is a major source of greenhouse gas emissions,Animal husbandry
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
explain how over grazing destroy soil nutrients.,"Overgrazing by livestock can lead to soil compaction, erosion, and loss of soil organic matter, which are all detrimental to soil fertility."
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
what is a major source of greenhouse gas emissions,Animal husbandry
What are barns used for?,to store modern farm machinery and house farm animals
what percentage does the production of animal food produce to Green House Emission.,57%
"the product of consistent modification by scientists are called?
",GMOs 
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
What are some sustainable farming practices that can help reduce environmental impact?,Sustainable farming practices can help
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
A large diary cows can eat up of?,150 pounds
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
what is Composting?,"Composting involves decomposing organic materials such as animal manure, food waste, and yard trimmings to create a nutrient-rich soil amendment that can be added back to the soil."
name the four stages of the lifecycle.," Eggs, Larvae, Pupae and Adult"
A large diary cows can eat up of?,150 pounds
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
how else can you achieve pest control.,culling
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
what is animal welfare?,refers to the conditions in which an animal is raised
give other examples of ruminats,"Goats, sheep, camels, and antelope "
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
How can cows make so much milk?,If its calf nurses regularl
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
Are beef animals consuming grain that could be used to feed humans?,lifetime 
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
what is animal welfare?,refers to the conditions in which an animal is raised
what is RFID used for?,is a technology that has been used to identify and track livestock animals
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
how can you minimize the effects of anti-nutrients in beans.,"it is recommended to soak, sprout, or ferment the beans before milling them. These processes can help to break down the anti-nutrients and make the nutrients more bioavailable."
what is Intensive farming.,"is cultivation to maximise productivity, with a low fallow ratio and a high use of inputs (water, fertilizer, pesticide and automation)"
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
what can be made from  milled bean flour.,"bean cakes, bean bread, and bean porridge."
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
what is RFID used for?,is a technology that has been used to identify and track livestock animals
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
how can Livestock integration helps increase soil fertility.,"Grazing livestock on pasture land can help add organic matter to the soil through manure and urine deposition. Additionally, crop residues and other organic materials can be fed to livestock and the resulting manure can be applied to the soil to improve fertility."
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
which other way can cover crops increase fertility,Cover crops can also improve soil quality by increasing soil organic matter levels through the input of cover crop biomass over time
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
what is animal welfare?,refers to the conditions in which an animal is raised
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
what is a major source of greenhouse gas emissions,Animal husbandry
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
what is plant nutrition?,refers to the process by which plants obtain and utilize essential nutrients for growth and development. 
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
which other way can cover crops increase fertility,Cover crops can also improve soil quality by increasing soil organic matter levels through the input of cover crop biomass over time
name the diet in which diary cows should be fed on.,diet high in protein and calcium
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
name any livestock diseases.," foot-and-mouth disease, brucellosis, and tuberculosis"
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
what is Food Supply Continuum,The process of getting food from the farm to the table
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
what is RFID used for?,is a technology that has been used to identify and track livestock animals
what are other benefits of cover crops to habitat.,improve farm habitat for wildlife
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
Explain how agronomic practices can be used to impact on the extent of damage done by crop pests? ,"Crop rotation: Rotating crops helps disrupt the life cycles of pests and reduces the buildup of pest populations. By alternating different crops in the same field, pests that are specific to a particular crop are less likely to persist and cause significant damage.

Proper planting time and spacing: Planting crops at the appropriate time and with the correct spacing can promote healthy plant growth and vigor. Well-spaced plants have better air circulation, reducing the favorable conditions for pests and diseases to spread. Timely planting can also help avoid critical pest infestation periods.

Field sanitation: Proper field sanitation involves removing crop residues, weeds, and other debris from the field. These residues can harbor pests and diseases, providing a breeding ground for future infestations. Removing crop debris and maintaining clean field conditions can help reduce pest populations.

Use of resistant or tolerant varieties: Planting crop varieties that have natural resistance or tolerance to specific pests can greatly reduce pest damage. Resistant varieties have built-in genetic traits that make them less susceptible to pest attacks. By choosing and planting resistant or tolerant varieties, farmers can minimize the impact of pests on their crops."
name the diet in which diary cows should be fed on.,diet high in protein and calcium
what is Aquaculture,production of fish for human consumption
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
Why do cows stand around in fields eating all day?, to produce four or more gallons of milk
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
how can Livestock integration helps increase soil fertility.,"Grazing livestock on pasture land can help add organic matter to the soil through manure and urine deposition. Additionally, crop residues and other organic materials can be fed to livestock and the resulting manure can be applied to the soil to improve fertility."
what does poverty results in?,"inability to purchase food, safely store food or transport food from where it is grown to where it is needed."
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
what percentage does agriculture contribute to the total greenhouse gas emissions,9% of total U.S. greenhouse gas emissions
what is Crop rotation.,"The practice of growing a series of different types of crops in the same area in sequenced
seasons or years"
does spacing reduce competition for resources?,"When beans are spaced adequately, there is less competition among plants for essential resources like water, nutrients, and light. This allows each plant to access the resources it needs without being hindered by neighboring plants, resulting in more vigorous growth.
"
which animal require a diet that is lower in protein but higher in carbohydrates.,pigs 
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
name any Livestock management practices.,"ensuring that the animals are provided with adequate food, water, and shelter, as well as maintaining their health through regular veterinary check-ups and vaccinations"
How can cows make so much milk?,If its calf nurses regularl
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
Are beef animals consuming grain that could be used to feed humans?,lifetime 
how can Livestock integration helps increase soil fertility.,"Grazing livestock on pasture land can help add organic matter to the soil through manure and urine deposition. Additionally, crop residues and other organic materials can be fed to livestock and the resulting manure can be applied to the soil to improve fertility."
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
What are some sustainable farming practices that can help reduce environmental impact?,Sustainable farming practices can help
Is beef a healthy protein option?,serving of beef provides 10 essential nutrients including vitamins B6 and B12 and about half the daily requirement of protein.
which crops can be intercropped with cassava to help attract natural predators of cassava beetles., legumes or grasses
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
does spacing reduce competition for resources?,"When beans are spaced adequately, there is less competition among plants for essential resources like water, nutrients, and light. This allows each plant to access the resources it needs without being hindered by neighboring plants, resulting in more vigorous growth.
"
give two ways in which frozen vegetables can even be more nutritious than fresh vegetables.,"frozen vegetables are often left to ripen longer than fresh vegetables. As they ripen and mature, they become full of vitamins, minerals and antioxidants. Second, vegetables begin to lose their nutritional value as soon as they are harvested. Freezing slows this process."
why do livestock require a steady supply of food and water.,to maintain their health and productivity.
does spacing reduce competition for resources?,"When beans are spaced adequately, there is less competition among plants for essential resources like water, nutrients, and light. This allows each plant to access the resources it needs without being hindered by neighboring plants, resulting in more vigorous growth.
"
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
name ways how farmers can manage breeding and reproduction of livestock.,"artificial insemination, natural breeding methods, and careful management of breeding cycles."
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
what is RFID used for?,is a technology that has been used to identify and track livestock animals
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
which other way can make a cow produces more milk? ,by milking the cows regularly�two or three times a day
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
how were the primitive milking machine used?,used hollow wheat stems inserted in the teats to milk cows
What facilitates farm yard manure to loosen upper soil layers? ," Farm yard manure is rich in organic matter, which improves soil structure and promotes aggregation. Organic matter helps to bind soil particles together, creating pore spaces and improving soil porosity. This allows for better air and water movement in the soil, leading to improved soil structure and less compacted soil.
"
Can the world support more vegetarians than meat eaters?,"Unfortunately, the answer is not as simple as a mere calculation"
how is farmyard manure derived?,"Farmyard manure is typically derived from animal waste, such as cow dung, and contains a mix of organic matter, nutrients, and microorganisms. It provides a slow-release source of nutrients and helps improve soil structure and moisture retention."
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
what is Intensive farming.,"is cultivation to maximise productivity, with a low fallow ratio and a high use of inputs (water, fertilizer, pesticide and automation)"
What are barns used for?,to store modern farm machinery and house farm animals
which animal require a diet that is lower in protein but higher in carbohydrates.,pigs 
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
A large diary cows can eat up of?,150 pounds
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
How many pounds of grain does it take to produce 1 pound of beef?,2.5 pounds
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
name any  veterinary care that should be given to livestock,routine check-ups and vaccinations
which agricultural products accounted for the exports in 2019,"soybeans, beef, veal, pork, poultry and fresh and processed fruits and veggies "
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
which other way can cover crops increase fertility,Cover crops can also improve soil quality by increasing soil organic matter levels through the input of cover crop biomass over time
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
Are beef animals consuming grain that could be used to feed humans?,lifetime 
why should Livestock receive appropriate veterinary care.,to ensure they remain healthy and productive
why do farmers need to manage the timing and frequency of feedings., to ensure that animals receive adequate nutrition without overeating.
what is RFID used for?,is a technology that has been used to identify and track livestock animals
what is animal husbandry?,"is the breeding and raising of animals for meat, milk, eggs, or wool, and for work and transport."
what farming techniques helps to reduce the build up of a certain pest species.,crop rotation
Are beef animals consuming grain that could be used to feed humans?,lifetime 
"the product of consistent modification by scientists are called?
",GMOs 
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
Does my food price go up because farmers want to make more money?,"When you see an increase in price at the grocery story, don�t assume it�s going into the pocket of your local farmers"
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
why do we need to rotate stock?,"To ensure the beans are always fresh, rotate your stock and use the oldest beans first. Aim to use your stored beans within a year."
Do cows cause global warming? ,cattle production is not a top contributor to greenhouse gasses
How does farming and ranching impact wildlife habitat?," Farmers and ranchers value wildlife conservation and are working hard to improve habitat, while providing food, fiber and fuel to a growing population."
what important role does agriculture play?,feeding the growing population.
Where does our food come from?,People in developed countries such as the United States eat food that comes from all over the world.
Where does our food come from?,"87.3% of food and beverage purchases by U.S. consumers, including both grocery store and eating out purchases, were from domestic production. The remaining 12.7% were imported food and beverages such as produce from Chile or wines from France"
why has Food and Drug Administration has approved  the use of antibiotics in treating animals?,"to treat disease in animals that are sick, control disease for a group of animals when some of the animals are sick and to prevent disease in animals that are at risk for becoming sick"
Livestock needs appropriate housing to protect them ,from extreme weather conditions and provides adequate space for them to move around
Are beef animals consuming grain that could be used to feed humans?,lifetime 
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
what is a major source of greenhouse gas emissions,Animal husbandry
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
why is animal welfare important to ranchers?,animals that are properly cared for will be healthier and more productive
A large diary cows can eat up of?,150 pounds
What does the label on my egg carton mean?,Omega?3 Enriched: Ingredients like flaxseed and fish oils are added to hen�s diets to increase omega?3 content. � Organic: Hens are not in cages and are raised according to the USDA�s National Organic Program guidelines � Free?range: Hens are raised with access to the outdoors. � Cage?free: Hens are allowed to roam in open areas
Is it criminal if i kill monkeys spoiling my crops,"I am not a legal expert, but the legality of killing monkeys or any wildlife species largely depends on the laws and regulations of your country or region. In many places, wildlife is protected by law, and killing or harming them without proper authorization can be illegal and subject to penalties.

If monkeys or other animals are causing damage to your crops, it is generally recommended to explore non-lethal methods of managing wildlife, such as implementing deterrents, using fencing or netting, or seeking assistance from local wildlife authorities or conservation organizations. They may be able to provide guidance and solutions for addressing wildlife conflicts in a legal and humane manner.
"
what is a major source of greenhouse gas emissions,Animal husbandry
